23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
23.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
24.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
25.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
26.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
27.0,0.0,0.0
